CourseName,Tokens
Advanced Computer Networks,advanc comput networksthi is an advanc cours on comput network cover four main contemporari topic name how high perform network are design cover algorithm and implement data center network inform centric network and network softwar softwar defin network network virtual and programm networks. thi cours assum a basic knowledg of comput network and work profici with unix/linux oper systems. it ha practic compon with program assign give hand on to the students.comput network and comput architectur cours are prerequisitescisco junip network sasken hewlett-packard wipro broadcom
Affective Computing,affect computingaffect comput focus on enabl the machin with emot recognit and adapt interaction. it lie in the intersect of comput scienc design and human psychology. thi cours will overview the emot theori comput model of emot analysi of emot use differ modal such as voic facial express physiolog signal etc and relat machin learn and/or signal process techniques. we will also discuss ethic legal and social implic of affect comput particularli in relat to human-machin interaction.deep learningin gener ani compani industri work with ai/ml will recogn thi course. some exampl includ 1.amazon 2.appl 3.googl 4.meta 5.microsoft
AIConstraint Satisfaction,aiconstraint satisfactionabout the cours human be solv problem in mani differ ways. problem solv in artifici intellig ai is inspir from these divers approaches. ai problem solver may be base on search on memori or on knowledg represent and reasoning. an approach to problem solv is to pose problem as constraint satisfact problem csp and employ gener method to solv them. the task of a user then is onli to pose a problem as a csp and then call an off-the-shelf solver. csp are amen to combin search base method with reasoning. in thi 2 credit cours we will look at gener approach to solv finit domain csp and explor how search can be combin with constraint propag to find solutions. thi cours is a companion to the cours artifici intellig search method for problem solving that wa offer recent and artifici intellig knowledg represent & reasoning that is be offer concurrently. the lectur for both cours are avail online.exposur to ai search method for problem solv and ai knowledg represent & reason help but is not necessary.softwar compani deal with artifici intellig applic
Artificial Intelligence Knowledge Representation And Reasoning,artifici intellig knowledg represent and reasoningabout the cours an intellig agent need to be abl to solv problem in it world. the abil to creat represent of the domain of interest and reason with these represent is a key to intelligence. in thi cours we explor a varieti of represent formal and the associ algorithm for reasoning. we start with a simpl languag of proposit and move on to first order logic and then to represent for reason about action chang situat and about other agent in incomplet inform situations. thi cours is a companion to the cours artifici intellig search method for problem solving that wa offer recent and the lectur for which are avail online.som exposur to formal languag logic and program softwar compani deal with knowledg and reason includ the semant web and semant search.
Blockchain and its Applications,"blockchain and it applicationsabout the cours in the last few year blockchain technolog ha gener massiv interest among govern enterpris and academ becaus of it capabl of provid a transpar secur tamper-proof solut for interconnect differ stakehold in a trustless setup. in januari 2021 the ministri of electron and inform technolog meiti govern of india publish the first draft of the ""nation strategi on blockchain"" that highlight 17 potenti applic that are of nation interest. against thi backdrop thi subject will cover the basic design principl of blockchain technolog and it applic over differ sectors. addit the cours also provid tutori on set up blockchain applic use one of the well-adopt permissionless blockchain platform - ethereum and one permiss blockchain platform - hyperledger. pre-requisit comput networks; oper systems; cryptographi and network security. indusrti support ibm; hpe; intel; ani startup work on blockchain.comput networks; oper systems; cryptographi and network security.cont not found"
Circuit Complexity Theory,circuit complex theorythi is a cours on boolean circuit complexity. in thi cours we studi the boolean circuit model of computation. we prove upper and lower bound on circuit resourc such as depth and size. the cours is entir mathemat and a good level of mathemat matur is essential. prior knowledg of discret mathemat probabl and basic algebra are prerequisit for thi course. the cours is intend for student who wish to pursu research in theoret comput science.bas undergradu cours in theori of comput and algorithms. undergradu algebra and discret mathematics.cont not found
Cloud Computing,cloud computingabout the cours cloud comput is a scalabl servic consumpt and deliveri platform that provid on-demand comput servic for share pool of resourc name server storag network softwar databas applic etc. over the internet. it is a model for enabl ubiquit on-demand access to a share pool of configur comput resourc which can be rapidli provis and releas with minim manag effort. thi cours will introduc variou aspect of cloud comput includ fundament manag issu secur challeng and futur research trends. thi will help student both ug and pg level and research to use and explor the cloud comput platforms.bas of comput architectur and organ networkingit industri
Computer Networks And Internet Protocol,comput network and internet protocolabout the cours the domain of internet ha grown in a rapid pace from tradit circuit switch and packet switch small scale network to modern high-spe mobil and wireless internet. a larg number of method architectur and design came up at everi protocol level to cop up with the demand for develop a secur and highli depend inform technolog infrastructure. the broad object of the cours is to understand - i the architectur and principl of today' comput network ii the protocol and their function iii the requir for the futur internet and it impact on the comput network architecture. in thi cours we'll broadli cover the basic tcp/ip protocol stack and touch on the next gener comput networks. we'll take a top-down approach to cover differ protocol at the tcp/ip protocol stack.nilit industri
Data Analytics with Python,data analyt with pythonabout the cours we are look forward to share mani excit stori and exampl of analyt with all of you use python program language. thi cours includ exampl of analyt in a wide varieti of industri and we hope that student will learn how you can use analyt in their career and life. one of the most import aspect of thi cours is that you the student are get hands-on experi creat analyt models; we the cours team urg you to particip in the discuss forum and to use all the tool avail to you while you are in the course!nilani analyt compani
Data Base Management System,data base manag systemabout the cours databas form the backbon of all major applic today  tightli or loos coupl intranet or internet base financi social administr and so on. structur databas manag system dbm base on relat and other model have long form the basi for such databases. consequ oracl microsoft sql server sybas etc. have emerg as lead commerci system while mysql postgresql etc. lead in open sourc and free domain. while dbms differ in the detail they share a common set of model design paradigm and a structur queri languag sql. in thi background the cours examin data structur file organ concept and principl of dbms data analysi databas design data model databas manag data & queri optim and databas implementation. more specif the cours introduc relat data models; entity-relationship model sql data normal and databas design. further it introduc queri code practic use mysql or ani other open system through variou assignments. design of simpl multi-ti client / server architectur base and web-bas databas applic is also introduced.procedur and / or object-ori program c / c++ / java / pythondbm is so fundament that all compani deal with system as well as applic develop (includ web iot embed system data mine machin learning) have a need for the same. these includ â microsoft samsung xerox yahoo googl ibm tc infosi amazon flipkart etc.
Data Mining,data miningabout the cours data mine is studi of algorithm for find pattern in larg data sets. it is an integr part of modern industri where data from it oper and custom are mine for gain busi insight. it is also import in modern scientif endeavors. data mine is an interdisciplinari topic involv databas machin learn and algorithms. the cours will cover the fundament of data mining. it will explain the basic algorithm like data preprocess associ rule classif cluster sequenc mine and visualization. it will also explain implement in open sourc software. final case studi on industri problem will be demonstrated.niltc infosi ct accentur
Design and analysis of algorithms,design and analysi of algorithmsabout the cours thi cours will cover basic concept in the design and analysi of algorithms. asymptot complex o notat sort and search algorithm on graph explor connect shortest path direct acycl graph span tree design techniqu divid and conquer greedi dynam program data structur heap union of disjoint set search tree intract exposur to introductori cours on program and data structures.thi cours should be of valu to ani compani work in the area of softwar servic and products.
Embedded System Design with ARM,embed system design with armabout the cours thi cours will discuss about the basic concept of embed system design with particular emphasi on hands-on and demonstr session on system design use arm microcontrollers. keep in view of the recent develop thi cours will be base on state-of-the-art microcontrol board and program environments. thi cours will also help the particip to understand the development aspect of internet of thing iot base designs. start from the basic the particip will be introduc to variou interfac issu with sensor and actuators. it is highli recommend that the particip procur some of the low cost microcontrol develop board and actual carri out the experi that would be demonstratedbas concept in digit circuit and microprocessorarm intel texa instrument qualcomm samsung tc hp
Foundation of Cloud IoT Edge ML,foundat of cloud iot edg mlemerg internet of thing iot applic such as augment realiti self-driv automobil and mani other are delay sensit and comput expens requir real-tim process of massiv amount of data gener by distribut end users. although the success of cloud comput for support high perform comput ha been wit in recent year it ineffici in qualiti of servic qo provis for delay sensit applic as well as high energi consumpt ha been the bottleneck for the develop of delay-sensit iot applications. edg comput ha recent develop as a cloud comput extens for qo provis for time-sensit applications. by deploy comput and network resourc along the path between data sourc and cloud datacent it enabl cloud-lik comput at the network edge. thi cours provid an in-depth understand of terminolog and the core concept behind cloud-iot-edg problem applic system and the techniqu that underli today' cutting-edg technologies. it provid an introduct to some of the start-of-the-art iot and wireless network edg and virtual technolog recent trend in comput hardwar for artifici intellig spatial local and detect tensor process unit for fast and afford artifici intellig ai. and while discuss the concept and techniqu we will also look at variou applic of cloud-iot-edg use machin learn deep learn and mani others. the cours is suitabl for all ug/pg student and practic engineers/ scientist from the divers field and interest in learn about the novel cut edg techniqu and applic of cloud-iot-edge.bas of comput architectur and organ networkingit industri
Foundations of Cyber Physical Systems,"foundat of cyber physic systemscyber-phys system cp which consist of physic system tightli integr and/or control by softwar are ubiquit in mani safeti critic domain includ automot avion railway healthcar atom energi power and industri automation. the principl of design and implement of cyber-phys system are remark differ from that of other embed system becaus of the tight integr of real valu and dens time real time system with softwar base discret autom control. the object of thi cours is to develop an exposit of the challeng in implement a cyber-phys system from a comput perspect but base equal on the principl of autom control. the cours aim to expos the student to real world problem in thi domain and provid a walk through the design and valid problem for such systems. with the advent of al techniqu their increas use in cp is also a promis growth vertic along with the necess of safeti assurance. in thi cours we also touch upon concept of neural network base decis make for continu system while guarante safeti and stabil use control theoret constraint solving.bas program knowledge""ti 1 automot companiesrobert bosch engin oem automot companiestml bmw daimler mahindra etc govt lab like drdo hal"""
Getting Started with Competitive Programming,get start with competit programmingabout the cours thi is a cours on algorithm design with a focu on issu of model and implementation. each lectur will be focus entir on one or two problem that reveal the use of a specif algorithm technique. the techniqu themselv are chosen to be in line with those cover in exist nptel cours on data structur and algorithm so that student who complet those cours can find in thi cours a natur follow up. thi cours is intend for anyon who want to deepen their appreci for algorithm techniqu that they have learn in a foundat cours and/or would like to take a first step toward prepar for code competit such as the icpc. data structur and algorithm familiar with a program languag ideal c++ or pythonmost technology-bas compani typic hire base on a test of code compet and thi cours will prepar student for this. notabl exampl includ facebook googl amazon appl microsoft etc.
GPU Architectures And Programming,gpu architectur and programmingabout the cours the cours cover basic of convent cpu architectur their extens for singl instruct multipl data process simd and final the gener of thi concept in the form of singl instruct multipl thread process simt as is done in modern gpus. we cover gpu architectur basic in term of function unit and then dive into the popular cuda program model commonli use for gpu programming. in thi context architectur specif detail like memori access coalesc share memori usag gpu thread schedul etc which primarili effect program perform are also cover in detail. we next switch to a differ simd program languag call opencl which can be use for program both cpu and gpu in a gener manner. throughout the cours we provid differ architecture-awar optim techniqu relev to both cuda and opencl. final we provid the student with detail applic develop exampl in two well-known gpu comput scenarios.program and data structur digit logic comput architecturenvidia amd googl amazon and most big-data compani
Information Security - 5 - Secure Systems Engineering,inform secur - 5 - secur system engineeringabout the cours with the increas in the threat of cyber-secur attack it is import to develop comput system that are not onli effici but also secure. thi cours will discuss variou vulner in system and mechan by which these vulner can be mitigated. the first part of the cours will discuss variou secur vulner in softwar code that if left unfix can potenti lead to major cyber-attacks. we will see how these vulner can aris from simpl program flaw like a buffer that overflow to complex applic runtim characterist that get manifest through side-channel such as the execut time and power consumpt of the device. we will look at some recent cyber-attack such as meltdown and spectr heartble and stagefright. the pre-requisit are a good understand of c and a basic understand of comput organ and oper systems. c program must be strongminimum understand of digit logic /oper systems/comput organizational compani develop embed product /iot etc.
Introduction to Embedded System Design,"introduct to embed system designabout the cours embed system surround us in the form of gadget and devic that we use. there is no aspect of human live which is untouch by such devic at home or for health diagnost transport entertainment. learn out embed system will give the skill to design and manufactur embed system product of the futur which will help particip toward better employability. thi cours teach embed system design use a build block approach which allow one to visual the requir of an embed system and then to design it efficiently. the cours will teach embed system design use a microcontrol name texa instrument msp430 low power microcontroller. the cours will introduc variou interfac techniqu for popular input devic includ sensor output devic and commun protocols. it will teach power suppli design for embed applications. it will also teach effect embed program techniqu in c and how to maintain code use git. it will have a signific practic compon which will be achiev through ani avail msp430 microcontrol kit.""anyon with understand of basic electron compon and circuit digit electron and c programming.cont not found"
Introduction To Industry 4.0 And Industrial Internet Of Things,introduct to industri 4.0 and industri internet of thingsabout the cours industri 4.0 concern the transform of industri process through the integr of modern technolog such as sensor commun and comput processing. technolog such as cyber physic system cp internet of thing iot cloud comput machin learn and data analyt are consid to be the differ driver necessari for the transformation. industri internet of thing iiot is an applic of iot in industri to modifi the variou exist industri systems. iiot link the autom system with enterpris plan and product lifecycle.thi cours ha been organ into the follow modulesbas knowledg of comput and internetal industri sector
Introduction To Internet Of Things,introduct to internet of thingsabout the cours internet of thing iot is present a hot technolog worldwide. govern academia and industri are involv in differ aspect of research implement and busi with iot. iot cut across differ applic domain vertic rang from civilian to defenc sectors. these domain includ agricultur space healthcar manufactur construct water and mine which are present transit their legaci infrastructur to support iot. today it is possibl to envis pervas connect storag and comput which in turn give rise to build differ iot solutions. iot-bas applic such as innov shop system infrastructur manag in both urban and rural area remot health monitor and emerg notif system and transport system are gradual reli on iot base systems. therefor it is veri import to learn the fundament of thi emerg technology.bas program knowledgecont not found
Introduction to Machine Learning (Tamil),introduct to machin learn (tamil)a short cours introduc the main idea and algorithm of machin learning. the goal of the cours is to cover the topic at a high level so that it would act as a first cours for a full fledg machin learn course. the cours will be deliv in spoken tamil while the technic term discussed/exams/assign will be in english. a basic cours in linear algebra/probability/programming/algorithm would be a big plus. these are not strong pre-requisites.cont not found
Machine Learning for Engineering and science applications,machin learn for engin and scienc applicationsrec applic of machin learn have explod due to cheapli avail comput resourc as well as wide avail of data. machin learn ml techniqu provid a set of tool that can automat detect pattern in data which can then be util for predict and for develop models. develop in ml algorithm and comput capabl have now made it possibl to scale engin analysi decis make and design rapidly. thi howev requir an engin to understand the limit and applic of the appropri ml algorithms. thi cours aim to provid a broad overview of modern algorithm in ml so that engin may appli these judiciously. toward thi end the cours will focu on broad heurist govern basic ml algorithm in the context of specif engin applications. student will also be train to implement these method util open sourc packag such as tensorflow.familiar with multivari calculu linear algebra probabl statistics. comfort with basic programming.should be of interest to compani tri to employ engin familiar with machin learningthank to the support from math work enrol student have access to matlab for the durat of the course.
Natural Language Processing,natur languag processingthi cours start with the basic of text process includ basic pre-process spell correct languag model part-of-speech tag constitu and depend pars lexic semant distribut semant and topic models. final the cours also cover some of the interest applic of text mine such as entiti link relat extract text summar text classif sentiment analysi and opinion mining.bas knowledg of probabl for the lectur and python for program assignmentmicrosoft research googl adob xerox flipkart amazon
Object Oriented System Development Using UML Java And Patterns,object orient system develop use uml java and patternsabout the cours object-ori softwar develop ha becom veri popular. also uml ha been accept as the standard design language. we discuss use of uml to arriv at a design solution. skelet java code gener from uml diagram will be discussed. design pattern are reusabl solutions. these are good solut to typic program problem that can be understood and appli in a specif design situat to improv the overal design and reduc design iterations. program use java softwar engineeringcont not found
Optimisation for Machine Learning Theory and Implementation (Hindi),optimis for machin learn theori and implement (hindi)optimis is the workhors of machin learning. know optimis is a key prerequisit in understand theori and practis of machin learning. in thi cours we will discuss the foundat requir for solv optim problem in the context of machin learn through variou case-studies/running-examples. we will start with cover the basic of linear algebra and calculu requir for learn optim theory. we will learn both the theori and implement optim algorithm like stochast gradient descent and it variou variant to solv machin learn problem of classif cluster etc use standard problem formul which are convex svm etc and non-convex neural network and deep neural network etc. linear algebra calculu basic programminggoogl microsoft facebook amazon flipkart and all compani connect to data scienc signal process and ai/ml
Problem Solving Through Programming In C,problem solv through program in cabout the cours thi cours is aim at enabl the student to formul simpl algorithm for arithmet and logic problem translat the algorithm to program in c languag test and execut the program and correct syntax and logic error implement condit branch iter and recurs decompos a problem into function and synthes a complet program use divid and conquer approach use array pointer and structur to formul algorithm and program appli program to solv matrix addit and multipl problem and search and sort problem appli program to solv simpl numer method problem name rot find of function differenti of function and simpl integrationbe/btech in all disciplin bca/mca/m. scall it industri
Programming In Java,program in javaabout the cours with the growth of inform and commun technolog there is a need to develop larg and complex software. further those softwar should be platform independ internet enabl easi to modifi secur and robust. to meet thi requir object-ori paradigm ha been develop and base on thi paradigm the java program languag emerg as the best program environment. now java program languag is be use for mobil program internet program and mani other applic compat to distribut systems. thi cours aim to cover the essenti topic of java program so that the particip can improv their skill to cope with the current demand of it industri and solv mani problem in their own file of studies. thi cours requir that the student are familiar with program languag such as c/c++ and data structur algorithms.al it companies.
Programming in Modern C++,program in modern c++there ha been a continu debat on which program language/ to learn to use. as the latest tiob program commun index for august 2021 indic  c 13% python 12% c++ 7% java 10% and c#5% togeth control nearli half the program activ worldwide. further c program languag famili c c++ c# object c etc. domin more than 25% of activities. henc learn c++ is import as one learn about the entir famili about object-ori program and get a solid foundat to also migrat to java and python as needed. c++ is the mother of most gener purpos of languages. it is multi-paradigm encompass procedur object-ori gener and even function programming. c++ ha primarili been the system languag till c++03 which punch effici of the code with the efficaci of oop. then whi should i learn it if my primari focu is on applications? thi is where the recent updat of c++ name c++11 and sever later offer excel depth and flexibl for c++ that no languag can match. these extens attempt to allevi some of the long-stand shortcom for c++ includ porou resourc manag error-pron pointer handl express semant and better readability. the present cours build up on the knowledg of c program and basic data structur array list stack queue etc. to creat a strong familiar with c++98 / c++03. besid the construct syntax and semant of c++ over c we also focu on variou idiom of c++ and attempt to go to depth with everi c++ featur justifi and illustr them with sever exampl and assign problems. on the way we illustr variou oop concepts. the cours also cover import advanc in c++11 and later releas features.program & data structur mandatori program in c optional. design and analysi of algorithm optional.cont not found
Programming Data Structures And Algorithms Using Python,program data structur and algorithm use pythonabout the cours thi cours is an introduct to program and problem solv in python. it doe not assum ani prior knowledg of programming. use some motiv exampl the cours quickli build up basic concept such as condit loop function list string and tuples. it goe on to cover search and sort algorithm dynam program and backtrack as well as topic such as except handl and use files. as far as data structur are concern the cours cover python dictionari as well as class and object for defin user defin datatyp such as link list and binari search trees. school level mathematics.thi cours should be of valu to ani compani requir program skills.about cmiâ click here
Selected Topics in Algorithms,select topic in algorithmseveri applic area of comput scienc and engin demand effici design of algorithms. inde an effici algorithm for a problem may take much less time even on a old comput than an ineffici algorithm for the same problem run on the fastest comput on the earth. in basic data structur and algorithm cours we learn elementari techniqu like greedi algorithm divid and conquer dynam program etc. in thi cours we will learn more advanc algorithm design techniques. knowledg of basic algorithmsal softwar compani especi googl microsoft etc.
Software Testing,softwar testingabout the cours over the year program sever test techniqu have develop and tool have becom available. also test ha been acknowledg as the primari techniqu for ensur softwar reliability. the cours would provid a brief introduct to test process and techniqu avail for black box and white box test case design. integr system and regress test would also be discussed. a few of the test tool would be discuss and the particip would be encourag to use. basic knowledg of programmingal softwar development/test compani
Systems and Usable Security,system and usabl securityabout the cours thi cours will give an understand of the principl of system secur from applic viewpoint. student will obtain hands-on experi on secur threat and counter-measures. goal is to studi variou type of threat oper system secur advanc topic on network secur web secur and usabl security. after the complet of the cours the student will have understand of practic aspect of secur and will be abl to analyz and design the secur systems. pre-requisit comput network oper system discret mathemat industri support cyber secur is an import aspect for everi organ currently. have knowledg about the threat and possibl countermeasur will immens benefit ani organ in today world.comput network oper system discret mathematicscyb secur is an import aspect for everi organ currently. have knowledg about the threat and possibl countermeasur will immens benefit ani organ in today world.intend audienc final year undergradu student of comput scienc and engin discipline.
User-centric Computing For Human-Computer Interaction,user-centr comput for human-comput interactionabout the cours human-comput interact is an emerg field of studi at present due to the prolifer of larg number of consum electron products. the key issu in thi field is to make the product usabl to lay-persons. in order to do that we need to take care of the creativ design aspect the look-and-feel of the interfac and also the system design aspect both softwar and hardware. the field is interdisciplinari with input requir from variou other fields. howev the comput scienc and engin play the central role in the design of such system as per sigchi of acm. in thi cours we will introduc the engin and comput issu in the design of human-comput interfac for laypersons. the topic cover in the cours includ the engin life cycl for design of interact system comput design framework as part of the life cycl compon of the framework includ the comput model of user and system and evalu of such system with or without users.bas subject of comput scienc and engineering/itindustry/compani that deal with consum electron and user-interfac design and develop
Introduction to Machine Learning,introduct to machin learningabout the cours with the increas avail of data from vari sourc there ha been increas attent paid to the variou data driven disciplin such as analyt and machin learning. in thi cours we intend to introduc some of the basic concept of machin learn from a mathemat well motiv perspective. we will cover the differ learn paradigm and some of the more popular algorithm and architectur use in each of these paradigms.w will assum that the student know program for some of the assignments.if the student have done introductori cours on probabl theori and linear algebra it would be helpful. we will review some of the basic topic in the first two week as well.ani compani in the data analytics/data science/big data domain would valu thi course.
Data Science for Engineers,data scienc for engineersabout the cours learn object introduc r as a program languag introduc the mathemat foundat requir for data scienc introduc the first level data scienc algorithm introduc a data analyt problem solv framework introduc a practic capston case studi learn outcom describ a flow process for data scienc problem rememb classifi data scienc problem into standard typolog comprehens develop r code for data scienc solut applic correl result to the solut approach follow analysi assess the solut approach evalu construct use case to valid approach and identifi modif requir creating10 hr of pre-cours materi will be provid learner need to practis thi to be readi to take the course. honeywel abb ford gyan data pvt. ltd.
Python for Data Science,python for data scienceabout the cours the cours aim at equip particip to be abl to use python program for solv data scienc problems.knowledg of basic data scienc algorithmscont not found
The Joy of Computing using Python,the joy of comput use pythonabout the cours the world ha becom highli interconnect and henc more complex than ever before. we are surround by a multitud of network in our daili life for exampl friendship network onlin social network world wide web road network etc. all these network are today avail onlin in the form of graph which hold a whole lot of hidden information. they encompass surpris secret which have been time and again reveal with the help of tool like graph theori sociolog game theori etc. the studi of these graph and revel of their properti with these tool have been term as social network analysis.10th standard/high schooleveri softwar compani is awar of the potenti of a first cours in comput science. especi of a first cours in comput â done right.
Deep Learning - IIT Ropar,deep learn - iit roparabout the cours a fun fill whirlwind tour of 30 hr cover everyth you need to know to fall in love with the most sought after skill of the 21st century. the cours bring program to your desk with anecdot analog and illustri examples. turn abstract to insight and engin to art the cours focus primarili to inspir the learner' mind to think logic and arriv at a solut programmatically. as part of the cours you will be learn how to practic and cultur the art of program with python as a language. at the end of the cours we introduc some of the current advanc in comput to motiv the enthusiast learner to pursu further directions. work knowledg of linear algebra probabl theory. it would be benefici if the particip have done a cours on machin learning.cont not found
Machine Learning ML,machin learn mlabout the cours the cours will be an introduct to discret mathemat which compris of the essenti for a comput scienc student to go ahead and studi ani other topic in the subject. the emphasi will be on problem solv as well as proofs. we will be provid motiv illustr and applic through out the course. the cours doesn't assum ani pre-requisit except for high school level arithmet and algebra.relev appli math and statist core comput sciencelbroad industri interest at present i.e. for autonom vehicl robot intellig assist and gener datamin
Parallel Computer Architecture,parallel comput architecturewith the emerg of applic domain requir larg data process as well as faster comput perform parallel comput ha becom a critic component. thi involv the use of multi-cor processor as well as tightli integr cluster of pc and workstations. the most excit develop is the converg of tradit dispar approach of share memori messag pass and data driven comput onto the same platform. as the parallel applic commun with each other use share data; it is import to correctli manag the share data within the memori hierarchi to avoid inconsistency. here we need to understand the mechan use for data access commun and coordin of work and it correct implementation. t hi cours will introduc the field of parallel architectur and discuss in-depth share memori manag for parallel architectures. we will also learn about the interconnect topolog and rout method which are import for connect and commun of the multipl core execut the parallel applications. the cours will conclud with an overview of variou parallel architectur and on-go research directions. final year undergradu as well as post-gradu student in the disciplin of cse it cs ece eee etc. can benefit from thi course. a basic knowledg in comput organis is suffici to take thi subject.intel micron amd ibm nvidia hp samsung etc.
