CourseName,Tokens
"Advanced,Computer,Networks",advanc comput networksthi advanc cours comput network cover four main contemporari topic name high perform network design cover algorithm implement data center network inform centric network network softwar softwar defin network network virtual programm networks. thi cours assum basic knowledg comput network work profici unix/linux oper systems. ha practic compon program assign give hand students.comput network comput architectur cours prerequisitescisco junip network sasken hewlett-packard wipro broadcomcomput scienc engin
"Affective,Computing",affect computingaffect comput focus enabl machin emot recognit adapt interaction. lie intersect comput scienc design human psychology. thi cours overview emot theori comput model emot analysi emot use differ modal voic facial express physiolog signal etc relat machin learn and/or signal process techniques. also discuss ethic legal social implic affect comput particularli relat human-machin interaction.deep learningin gener ani compani industri work ai/ml recogn thi course. exampl includ 1.amazon 2.appl 3.googl 4.meta 5.microsoftcomput scienc engin
"AIConstraint,Satisfaction",aiconstraint satisfactionabout cours human solv problem mani differ ways. problem solv artifici intellig ai inspir divers approaches. ai problem solver may base search memori knowledg represent reasoning. approach problem solv pose problem constraint satisfact problem csp employ gener method solv them. task user onli pose problem csp call off-the-shelf solver. csp amen combin search base method reasoning. thi 2 credit cours look gener approach solv finit domain csp explor search combin constraint propag find solutions. thi cours companion cours artifici intellig search method problem solving wa offer recent artifici intellig knowledg represent & reasoning offer concurrently. lectur cours avail online.exposur ai search method problem solv ai knowledg represent & reason help necessary.softwar compani deal artifici intellig applicationscomput scienc engin
"Artificial,Intelligence,Knowledge,Representation,And,Reasoning",artifici intellig knowledg represent reasoningabout cours intellig agent need abl solv problem world. abil creat represent domain interest reason represent key intelligence. thi cours explor varieti represent formal associ algorithm reasoning. start simpl languag proposit move first order logic represent reason action chang situat agent incomplet inform situations. thi cours companion cours artifici intellig search method problem solving wa offer recent lectur avail online.som exposur formal languag logic program softwar compani deal knowledg reason includ semant web semant search.comput scienc engin
"Blockchain,and,its,Applications","blockchain applicationsabout cours last year blockchain technolog ha gener massiv interest among govern enterpris academ becaus capabl provid transpar secur tamper-proof solut interconnect differ stakehold trustless setup. januari 2021 ministri electron inform technolog meiti govern india publish first draft ""nation strategi blockchain"" highlight 17 potenti applic nation interest. thi backdrop thi subject cover basic design principl blockchain technolog applic differ sectors. addit cours also provid tutori set blockchain applic use one well-adopt permissionless blockchain platform - ethereum one permiss blockchain platform - hyperledger. pre-requisit comput networks; oper systems; cryptographi network security. indusrti support ibm; hpe; intel; ani startup work blockchain.comput networks; oper systems; cryptographi network security.cont foundcomput scienc engin"
"Circuit,Complexity,Theory",circuit complex theorythi cours boolean circuit complexity. thi cours studi boolean circuit model computation. prove upper lower bound circuit resourc depth size. cours entir mathemat good level mathemat matur essential. prior knowledg discret mathemat probabl basic algebra prerequisit thi course. cours intend student wish pursu research theoret comput science.bas undergradu cours theori comput algorithms. undergradu algebra discret mathematics.cont foundcomput scienc engin
"Cloud,Computing",cloud computingabout cours cloud comput scalabl servic consumpt deliveri platform provid on-demand comput servic share pool resourc name server storag network softwar databas applic etc. internet. model enabl ubiquit on-demand access share pool configur comput resourc rapidli provis releas minim manag effort. thi cours introduc variou aspect cloud comput includ fundament manag issu secur challeng futur research trends. thi help student ug pg level research use explor cloud comput platforms.bas comput architectur organ networkingit industriescomput scienc engin
"Computer,Networks,And,Internet,Protocol",comput network internet protocolabout cours domain internet ha grown rapid pace tradit circuit switch packet switch small scale network modern high-spe mobil wireless internet. larg number method architectur design came everi protocol level cop demand develop secur highli depend inform technolog infrastructure. broad object cours understand - architectur principl today' comput network ii protocol function iii requir futur internet impact comput network architecture. thi cours we'll broadli cover basic tcp/ip protocol stack touch next gener comput networks. we'll take top-down approach cover differ protocol tcp/ip protocol stack.nilit industriescomput scienc engin
"Data,Analytics,with,Python",data analyt pythonabout cours look forward share mani excit stori exampl analyt use python program language. thi cours includ exampl analyt wide varieti industri hope student learn use analyt career life. one import aspect thi cours student get hands-on experi creat analyt models; cours team urg particip discuss forum use tool avail course!nilani analyt companycomput scienc engin
"Data,Base,Management,System",data base manag systemabout cours databas form backbon major applic today  tightli loos coupl intranet internet base financi social administr on. structur databas manag system dbm base relat model long form basi databases. consequ oracl microsoft sql server sybas etc. emerg lead commerci system mysql postgresql etc. lead open sourc free domain. dbms differ detail share common set model design paradigm structur queri languag sql. thi background cours examin data structur file organ concept principl dbms data analysi databas design data model databas manag data & queri optim databas implementation. specif cours introduc relat data models; entity-relationship model sql data normal databas design. introduc queri code practic use mysql ani open system variou assignments. design simpl multi-ti client / server architectur base web-bas databas applic also introduced.procedur / object-ori program c / c++ / java / pythondbm fundament compani deal system well applic develop includ web iot embed system data mine machin learn need same. includ â microsoft samsung xerox yahoo googl ibm tc infosi amazon flipkart etc.comput scienc engin
"Data,Mining",data miningabout cours data mine studi algorithm find pattern larg data sets. integr part modern industri data oper custom mine gain busi insight. also import modern scientif endeavors. data mine interdisciplinari topic involv databas machin learn algorithms. cours cover fundament data mining. explain basic algorithm like data preprocess associ rule classif cluster sequenc mine visualization. also explain implement open sourc software. final case studi industri problem demonstrated.niltc infosi ct accenturecomput scienc engin
"Design,and,analysis,of,algorithms",design analysi algorithmsabout cours thi cours cover basic concept design analysi algorithms. asymptot complex notat sort search algorithm graph explor connect shortest path direct acycl graph span tree design techniqu divid conquer greedi dynam program data structur heap union disjoint set search tree intract exposur introductori cours program data structures.thi cours valu ani compani work area softwar servic products.comput scienc engin
"Embedded,System,Design,with,ARM",embed system design armabout cours thi cours discuss basic concept embed system design particular emphasi hands-on demonstr session system design use arm microcontrollers. keep view recent develop thi cours base state-of-the-art microcontrol board program environments. thi cours also help particip understand development aspect internet thing iot base designs. start basic particip introduc variou interfac issu sensor actuators. highli recommend particip procur low cost microcontrol develop board actual carri experi would demonstratedbas concept digit circuit microprocessorarm intel texa instrument qualcomm samsung tc hpcomput scienc engin
"Foundation,of,Cloud,IoT,Edge,ML",foundat cloud iot edg mlemerg internet thing iot applic augment realiti self-driv automobil mani delay sensit comput expens requir real-tim process massiv amount data gener distribut end users. although success cloud comput support high perform comput ha wit recent year ineffici qualiti servic qo provis delay sensit applic well high energi consumpt ha bottleneck develop delay-sensit iot applications. edg comput ha recent develop cloud comput extens qo provis time-sensit applications. deploy comput network resourc along path data sourc cloud datacent enabl cloud-lik comput network edge. thi cours provid in-depth understand terminolog core concept behind cloud-iot-edg problem applic system techniqu underli today' cutting-edg technologies. provid introduct start-of-the-art iot wireless network edg virtual technolog recent trend comput hardwar artifici intellig spatial local detect tensor process unit fast afford artifici intellig ai. discuss concept techniqu also look variou applic cloud-iot-edg use machin learn deep learn mani others. cours suitabl ug/pg student practic engineers/ scientist divers field interest learn novel cut edg techniqu applic cloud-iot-edge.bas comput architectur organ networkingit industriescomput scienc engin
"Foundations,of,Cyber,Physical,Systems","foundat cyber physic systemscyber-phys system cp consist physic system tightli integr and/or control softwar ubiquit mani safeti critic domain includ automot avion railway healthcar atom energi power industri automation. principl design implement cyber-phys system remark differ embed system becaus tight integr real valu dens time real time system softwar base discret autom control. object thi cours develop exposit challeng implement cyber-phys system comput perspect base equal principl autom control. cours aim expos student real world problem thi domain provid walk design valid problem systems. advent al techniqu increas use cp also promis growth vertic along necess safeti assurance. thi cours also touch upon concept neural network base decis make continu system guarante safeti stabil use control theoret constraint solving.bas program knowledge""ti 1 automot companiesrobert bosch engin oem automot companiestml bmw daimler mahindra etc govt lab like drdo hal""comput scienc engin"
"Getting,Started,with,Competitive,Programming",get start competit programmingabout cours thi cours algorithm design focu issu model implementation. lectur focus entir one two problem reveal use specif algorithm technique. techniqu themselv chosen line cover exist nptel cours data structur algorithm student complet cours find thi cours natur follow up. thi cours intend anyon want deepen appreci algorithm techniqu learn foundat cours and/or would like take first step toward prepar code competit icpc. data structur algorithm familiar program languag ideal c++ pythonmost technology-bas compani typic hire base test code compet thi cours prepar student this. notabl exampl includ facebook googl amazon appl microsoft etc.comput scienc engin
"GPU,Architectures,And,Programming",gpu architectur programmingabout cours cours cover basic convent cpu architectur extens singl instruct multipl data process simd final gener thi concept form singl instruct multipl thread process simt done modern gpus. cover gpu architectur basic term function unit dive popular cuda program model commonli use gpu programming. thi context architectur specif detail like memori access coalesc share memori usag gpu thread schedul etc primarili effect program perform also cover detail. next switch differ simd program languag call opencl use program cpu gpu gener manner. throughout cours provid differ architecture-awar optim techniqu relev cuda opencl. final provid student detail applic develop exampl two well-known gpu comput scenarios.program data structur digit logic comput architecturenvidia amd googl amazon big-data companiescomput scienc engin
"Information,Security,-,5,-,Secure,Systems,Engineering",inform secur - 5 - secur system engineeringabout cours increas threat cyber-secur attack import develop comput system onli effici also secure. thi cours discuss variou vulner system mechan vulner mitigated. first part cours discuss variou secur vulner softwar code left unfix potenti lead major cyber-attacks. see vulner aris simpl program flaw like buffer overflow complex applic runtim characterist get manifest side-channel execut time power consumpt device. look recent cyber-attack meltdown spectr heartble stagefright. pre-requisit good understand c basic understand comput organ oper systems. c program must strongminimum understand digit logic /oper systems/comput organizational compani develop embed product /iot etc.comput scienc engin
"Introduction,to,Embedded,System,Design","introduct embed system designabout cours embed system surround us form gadget devic use. aspect human live untouch devic home health diagnost transport entertainment. learn embed system give skill design manufactur embed system product futur help particip toward better employability. thi cours teach embed system design use build block approach allow one visual requir embed system design efficiently. cours teach embed system design use microcontrol name texa instrument msp430 low power microcontroller. cours introduc variou interfac techniqu popular input devic includ sensor output devic commun protocols. teach power suppli design embed applications. also teach effect embed program techniqu c maintain code use git. signific practic compon achiev ani avail msp430 microcontrol kit.""anyon understand basic electron compon circuit digit electron c programming.cont foundcomput scienc engin"
"Introduction,To,Industry,4.0,And,Industrial,Internet,Of,Things",introduct industri 4.0 industri internet thingsabout cours industri 4.0 concern transform industri process integr modern technolog sensor commun comput processing. technolog cyber physic system cp internet thing iot cloud comput machin learn data analyt consid differ driver necessari transformation. industri internet thing iiot applic iot industri modifi variou exist industri systems. iiot link autom system enterpris plan product lifecycle.thi cours ha organ follow modulesbas knowledg comput internetal industri sectorscomput scienc engin
"Introduction,To,Internet,Of,Things",introduct internet thingsabout cours internet thing iot present hot technolog worldwide. govern academia industri involv differ aspect research implement busi iot. iot cut across differ applic domain vertic rang civilian defenc sectors. domain includ agricultur space healthcar manufactur construct water mine present transit legaci infrastructur support iot. today possibl envis pervas connect storag comput turn give rise build differ iot solutions. iot-bas applic innov shop system infrastructur manag urban rural area remot health monitor emerg notif system transport system gradual reli iot base systems. therefor veri import learn fundament thi emerg technology.bas program knowledgecont foundcomput scienc engin
"Introduction,to,Machine,Learning,Tamil",introduct machin learn tamila short cours introduc main idea algorithm machin learning. goal cours cover topic high level would act first cours full fledg machin learn course. cours deliv spoken tamil technic term discussed/exams/assign english. basic cours linear algebra/probability/programming/algorithm would big plus. strong pre-requisites.cont foundcomput scienc engin
"Machine,Learning,for,Engineering,and,science,applications",machin learn engin scienc applicationsrec applic machin learn explod due cheapli avail comput resourc well wide avail data. machin learn ml techniqu provid set tool automat detect pattern data util predict develop models. develop ml algorithm comput capabl made possibl scale engin analysi decis make design rapidly. thi howev requir engin understand limit applic appropri ml algorithms. thi cours aim provid broad overview modern algorithm ml engin may appli judiciously. toward thi end cours focu broad heurist govern basic ml algorithm context specif engin applications. student also train implement method util open sourc packag tensorflow.familiar multivari calculu linear algebra probabl statistics. comfort basic programming.should interest compani tri employ engin familiar machin learningthank support math work enrol student access matlab durat course.comput scienc engin
"Natural,Language,Processing",natur languag processingthi cours start basic text process includ basic pre-process spell correct languag model part-of-speech tag constitu depend pars lexic semant distribut semant topic models. final cours also cover interest applic text mine entiti link relat extract text summar text classif sentiment analysi opinion mining.bas knowledg probabl lectur python program assignmentmicrosoft research googl adob xerox flipkart amazoncomput scienc engin
"Object,Oriented,System,Development,Using,UML,Java,And,Patterns",object orient system develop use uml java patternsabout cours object-ori softwar develop ha becom veri popular. also uml ha accept standard design language. discuss use uml arriv design solution. skelet java code gener uml diagram discussed. design pattern reusabl solutions. good solut typic program problem understood appli specif design situat improv overal design reduc design iterations. program use java softwar engineeringcont foundcomput scienc engin
"Optimisation,for,Machine,Learning,Theory,and,Implementation,Hindi",optimis machin learn theori implement hindioptimis workhors machin learning. know optimis key prerequisit understand theori practis machin learning. thi cours discuss foundat requir solv optim problem context machin learn variou case-studies/running-examples. start cover basic linear algebra calculu requir learn optim theory. learn theori implement optim algorithm like stochast gradient descent variou variant solv machin learn problem classif cluster etc use standard problem formul convex svm etc non-convex neural network deep neural network etc. linear algebra calculu basic programminggoogl microsoft facebook amazon flipkart compani connect data scienc signal process ai/mlcomput scienc engin
"Problem,Solving,Through,Programming,In,C",problem solv program cabout cours thi cours aim enabl student formul simpl algorithm arithmet logic problem translat algorithm program c languag test execut program correct syntax logic error implement condit branch iter recurs decompos problem function synthes complet program use divid conquer approach use array pointer structur formul algorithm program appli program solv matrix addit multipl problem search sort problem appli program solv simpl numer method problem name rot find function differenti function simpl integrationbe/btech disciplin bca/mca/m. scall industriescomput scienc engin
"Programming,In,Java",program javaabout cours growth inform commun technolog need develop larg complex software. softwar platform independ internet enabl easi modifi secur robust. meet thi requir object-ori paradigm ha develop base thi paradigm java program languag emerg best program environment. java program languag use mobil program internet program mani applic compat distribut systems. thi cours aim cover essenti topic java program particip improv skill cope current demand industri solv mani problem file studies. thi cours requir student familiar program languag c/c++ data structur algorithms.al companies.comput scienc engin
"Programming,in,Modern,C++",program modern c++there ha continu debat program language/ learn use. latest tiob program commun index august 2021 indic  c 13% python 12% c++ 7% java 10% c#5% togeth control nearli half program activ worldwide. c program languag famili c c++ c# object c etc. domin 25% activities. henc learn c++ import one learn entir famili object-ori program get solid foundat also migrat java python needed. c++ mother gener purpos languages. multi-paradigm encompass procedur object-ori gener even function programming. c++ ha primarili system languag till c++03 punch effici code efficaci oop. whi learn primari focu applications? thi recent updat c++ name c++11 sever later offer excel depth flexibl c++ languag match. extens attempt allevi long-stand shortcom c++ includ porou resourc manag error-pron pointer handl express semant better readability. present cours build knowledg c program basic data structur array list stack queue etc. creat strong familiar c++98 / c++03. besid construct syntax semant c++ c also focu variou idiom c++ attempt go depth everi c++ featur justifi illustr sever exampl assign problems. way illustr variou oop concepts. cours also cover import advanc c++11 later releas features.program & data structur mandatori program c optional. design analysi algorithm optional.cont foundcomput scienc engin
"Programming,Data,Structures,And,Algorithms,Using,Python",program data structur algorithm use pythonabout cours thi cours introduct program problem solv python. doe assum ani prior knowledg programming. use motiv exampl cours quickli build basic concept condit loop function list string tuples. goe cover search sort algorithm dynam program backtrack well topic except handl use files. far data structur concern cours cover python dictionari well class object defin user defin datatyp link list binari search trees. school level mathematics.thi cours valu ani compani requir program skills.about cmiâ click herecomput scienc engin
"Selected,Topics,in,Algorithms",select topic algorithmseveri applic area comput scienc engin demand effici design algorithms. inde effici algorithm problem may take much less time even old comput ineffici algorithm problem run fastest comput earth. basic data structur algorithm cours learn elementari techniqu like greedi algorithm divid conquer dynam program etc. thi cours learn advanc algorithm design techniques. knowledg basic algorithmsal softwar compani especi googl microsoft etc.comput scienc engin
"Software,Testing",softwar testingabout cours year program sever test techniqu develop tool becom available. also test ha acknowledg primari techniqu ensur softwar reliability. cours would provid brief introduct test process techniqu avail black box white box test case design. integr system regress test would also discussed. test tool would discuss particip would encourag use. basic knowledg programmingal softwar development/test companiescomput scienc engin
"Systems,and,Usable,Security",system usabl securityabout cours thi cours give understand principl system secur applic viewpoint. student obtain hands-on experi secur threat counter-measures. goal studi variou type threat oper system secur advanc topic network secur web secur usabl security. complet cours student understand practic aspect secur abl analyz design secur systems. pre-requisit comput network oper system discret mathemat industri support cyber secur import aspect everi organ currently. knowledg threat possibl countermeasur immens benefit ani organ today world.comput network oper system discret mathematicscyb secur import aspect everi organ currently. knowledg threat possibl countermeasur immens benefit ani organ today world.intend audienc final year undergradu student comput scienc engin discipline.comput scienc engin
"User-centric,Computing,For,Human-Computer,Interaction",user-centr comput human-comput interactionabout cours human-comput interact emerg field studi present due prolifer larg number consum electron products. key issu thi field make product usabl lay-persons. order need take care creativ design aspect look-and-feel interfac also system design aspect softwar hardware. field interdisciplinari input requir variou fields. howev comput scienc engin play central role design system per sigchi acm. thi cours introduc engin comput issu design human-comput interfac laypersons. topic cover cours includ engin life cycl design interact system comput design framework part life cycl compon framework includ comput model user system evalu system without users.bas subject comput scienc engineering/itindustry/compani deal consum electron user-interfac design developmentcomput scienc engin
"Introduction,to,Machine,Learning",introduct machin learningabout cours increas avail data vari sourc ha increas attent paid variou data driven disciplin analyt machin learning. thi cours intend introduc basic concept machin learn mathemat well motiv perspective. cover differ learn paradigm popular algorithm architectur use paradigms.w assum student know program assignments.if student done introductori cours probabl theori linear algebra would helpful. review basic topic first two week well.ani compani data analytics/data science/big data domain would valu thi course.comput scienc engin
"Data,Science,for,Engineers",data scienc engineersabout cours learn object introduc r program languag introduc mathemat foundat requir data scienc introduc first level data scienc algorithm introduc data analyt problem solv framework introduc practic capston case studi learn outcom describ flow process data scienc problem rememb classifi data scienc problem standard typolog comprehens develop r code data scienc solut applic correl result solut approach follow analysi assess solut approach evalu construct use case valid approach identifi modif requir creating10 hr pre-cours materi provid learner need practis thi readi take course. honeywel abb ford gyan data pvt. ltd.comput scienc engin
"Python,for,Data,Science",python data scienceabout cours cours aim equip particip abl use python program solv data scienc problems.knowledg basic data scienc algorithmscont foundcomput scienc engin
"The,Joy,of,Computing,using,Python",joy comput use pythonabout cours world ha becom highli interconnect henc complex ever before. surround multitud network daili life exampl friendship network onlin social network world wide web road network etc. network today avail onlin form graph hold whole lot hidden information. encompass surpris secret time reveal help tool like graph theori sociolog game theori etc. studi graph revel properti tool term social network analysis.10th standard/high schooleveri softwar compani awar potenti first cours comput science. especi first cours comput â done right.comput scienc engin
"Deep,Learning,-,IIT,Ropar",deep learn - iit roparabout cours fun fill whirlwind tour 30 hr cover everyth need know fall love sought skill 21st century. cours bring program desk anecdot analog illustri examples. turn abstract insight engin art cours focus primarili inspir learner' mind think logic arriv solut programmatically. part cours learn practic cultur art program python language. end cours introduc current advanc comput motiv enthusiast learner pursu directions. work knowledg linear algebra probabl theory. would benefici particip done cours machin learning.cont foundcomput scienc engin
"Machine,Learning,ML",machin learn mlabout cours cours introduct discret mathemat compris essenti comput scienc student go ahead studi ani topic subject. emphasi problem solv well proofs. provid motiv illustr applic course. cours assum ani pre-requisit except high school level arithmet algebra.relev appli math statist core comput sciencelbroad industri interest present i.e. autonom vehicl robot intellig assist gener dataminingcomput scienc engin
"Parallel,Computer,Architecture",parallel comput architecturewith emerg applic domain requir larg data process well faster comput perform parallel comput ha becom critic component. thi involv use multi-cor processor well tightli integr cluster pc workstations. excit develop converg tradit dispar approach share memori messag pass data driven comput onto platform. parallel applic commun use share data; import correctli manag share data within memori hierarchi avoid inconsistency. need understand mechan use data access commun coordin work correct implementation. hi cours introduc field parallel architectur discuss in-depth share memori manag parallel architectures. also learn interconnect topolog rout method import connect commun multipl core execut parallel applications. cours conclud overview variou parallel architectur on-go research directions. final year undergradu well post-gradu student disciplin cse cs ece eee etc. benefit thi course. basic knowledg comput organis suffici take thi subject.intel micron amd ibm nvidia hp samsung etc.comput scienc engin
"Games,and,Information",game informationthi advanc cours game theori particular emphasi role information. begin static game cover basic notat there. 65% cours concern dynam game introduc inform structur role inform structur equilibria bayesian game inform asymmetry. cover basic concept mechan design. quick overview signal screen introduc inform design. final topic studi pre-play commun  achiev payoff correl equilibria. final end applic game theori finance. graduat student engin economics.stock commod exchang platform like ola uber amazon.comput scienc engin
"Business,Intelligence,&,Analytics",busi intellig & analyticsthi cours equip student necessari knowledg skill thought process model approach tool requir use data enterpris databas sourc busi decisions. turn cours prepar particip career data scienc busi analyt market research. thi cours introduc context data mine cover import model techniqu regress decis tree cluster ann text mining. core cours busi statist desirableanalyt data scienc industri servic industri manufactur servic oper marketingcomput scienc engin
"Edge,Computing",edg computingthi cours cover fundament edg comput applic low latenc critic real-tim comput scenarios. cours bring theori edg comput focus complementari approach address limit cloud computing. cours cover applic edg comput necess real-tim applic requir low latenc high bandwidth. exampl autonom vehicl requir real-tim process data sensor cannot done central data center due latenc issues. thi cours cover variou innov wave cloud comput edg computing. thi cours provid in-depth understand edg comput principl differ use case edg computing. thi cours explor differ framework comput edg devic cloud. cover differ techniqu distribut data analyt edg devic like edg data center. differ edg comput fundament cover rtt docker contain kubernet mqtt kafka time clock synchron key-valu store edge. also cover variou cloud platform provid edg services. thi cours also cover recent advanc machin learn deep learn artifici intellig appropri use case edg comput predict mainten self-driv car deep reinforc learn edg applications. networkingit industriescomput scienc engin
"Advanced,Foundation,Engineering",advanc foundat engineeringth cours focu design shallow foundat slope ground layer soil inclin & eccentr load conditions. pile uplift later load condit also discussed. undergradu core cours foundat engin topic either cover discuss simplifi form. propos cours advanc topic discuss detail. thi cours use ug pg student. cours also suitabl student prepar competit examination. field engin benefit thi cours design foundat critic condit gener cover ug core foundat engin cours discuss here.nilcont foundcivil engin
"Advanced,Soil,Mechanics",advanc soil mechanicsthi cours intend bridg basic soil mechan concept advanc topic relat stress soil strength. process help reinforc understand gain dure undergradu learn would help allevi ani misconcept relat stress-strain respons strength behaviour soils. concept explain thi cours advanc attempt add clariti knowledg gain undergradu level. thi cours ideal orient geotechn engin post-gradu student final year undergradu student higher realm geomechan characterist soils.nilcont foundcivil engin
"Air,pollution,and,Control",air pollut controlth object cours impart knowledg understand caus effect air pollut control mechanisms. cours provid deeper understand air pollut pollut inventori modelling. cours also impart knowledg impact air pollut differ aspect polici human health variou contemporari technolog innov better air quality.nilcont foundcivil engin
"Applied,Environmental,Microbiology",appli environment microbiologythi cours prepar student address press environment challeng develop fundament understand microbi commun process natur built environments. lay build upon foundat basic microbiolog microbi energet divers appli tool provid microbiolog rang tradit state art address relev environment concerns. provid indepth explor divers role microb microbi commun includ topic cell structur element microbi energet divers ecolog popul dynam environment microbi process includ biogeochem cycl microb involv biodeterior bioremediation.nilcont foundcivil engin
"Construction,Methods,And,Equipment,Management",construct method equip managementth key element success execut ani project plan also includ plan equipment. due recent advanc mechan differ model machin avail market particular job. henc task select right machin right job quit challeng project planner. therefor understand machin capabl veri import optim select util equipment. thi cours provid comprehens inform guidelin select equip estim cost product variou equip determin optimum replac time equipment. knowledg estim cost equip veri import accur inform equip cost need prepar bids. deep insight excav pile drive method crane concret equip provid inform veri much essenti peopl work construct industryengin would minimum qualif understand basic relat thi course.cont foundcivil engin
"Development,and,Applications,of,Special,Concretes",develop applic special concretesconcret longer simpli mixtur water cement sand coars aggreg  advent chemic admixtur better understand hydrat cement issu relat properti concret ha made possibl use sever ingredi led develop sever special concret construct method use concret divers environments. build fundament principl normal concret thi cours explain commonli use special concret develop use differ conditions. cours seek present unifi view concret materi construct method construct environ examin matter paramet qualiti control methods.th cours assum basic understand concret materi construct process includ expect perform qualiti control etc.cont foundcivil engin
"Earthquake,Resistant,Design,of,Foundations",earthquak resist design foundationsth cours cover variou type foundat requir soil investig soil paramet code practice. design consider seismic resist design foundations. cours focu techniqu design foundat doe fail dure earthquakes. thi cover shallow deep foundations. major focu design deep foundat later loads.soil mechan foundat engineeringcont foundcivil engin
